16:26:59,161 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Voltage out
65,782;3,300;0,806;3,664;1,398
65,882;3,300;0,806;3,663;1,397
65,982;3,300;0,806;3,663;1,398
66,082;3,300;0,806;3,664;1,398
66,182;3,300;0,806;3,664;1,398
66,282;3,300;0,806;3,664;1,398
66,382;3,300;0,806;3,664;1,398
66,482;3,300;0,806;3,664;1,398
66,582;3,300;0,806;3,665;1,397
66,682;3,300;0,806;3,665;1,398
66,782;3,300;0,806;3,665;1,397
66,882;3,300;0,806;3,665;1,398
66,982;3,300;0,806;3,664;1,398
67,082;3,300;0,806;3,663;1,397
67,182;3,300;0,806;3,664;1,398
67,282;3,300;0,806;3,665;1,397
67,382;3,300;0,806;3,666;1,398
67,482;3,300;0,807;3,667;1,398
67,582;3,300;0,806;3,664;1,398
67,682;3,300;0,806;3,663;1,398
67,782;3,300;0,806;3,664;1,397
67,882;3,300;0,806;3,665;1,398
67,982;3,300;0,806;3,665;1,397
68,082;3,300;0,807;3,667;1,398
68,181;3,300;0,806;3,663;1,398
68,281;3,300;0,806;3,663;1,398
68,381;3,300;0,806;3,663;1,398
68,481;3,300;0,806;3,664;1,398
68,581;3,300;0,806;3,665;1,397
68,681;3,300;0,806;3,666;1,398
68,781;3,300;0,807;3,666;1,398
