05.01.2006	16:53
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
25,56     	  39,67   	    0      	       1001010      	0         	    FALSE 	       49,91  	   4A     	     0         
25,24     	  39,39   	    0      	       1000101      	0         	    FALSE 	       50,01  	   45     	     0         
25,79     	  39,42   	    0      	       1001010      	0         	    FALSE 	       50,11  	   4A     	     0         
25,58     	  39,20   	    0      	       1000101      	0         	    FALSE 	       50,21  	   45     	     0         
28,77     	  39,60   	    0      	       1001010      	0         	    FALSE 	       50,31  	   4A     	     0         
28,44     	  39,45   	    0      	       1000101      	0         	    FALSE 	       50,41  	   45     	     0         
28,65     	  39,45   	    0      	       1001010      	0         	    FALSE 	       50,51  	   4A     	     0         
29,15     	  39,31   	    0      	       1000101      	0         	    FALSE 	       50,61  	   45     	     0         
28,62     	  39,51   	    0      	       1001010      	0         	    FALSE 	       50,71  	   4A     	     0         
25,44     	  39,51   	    0      	       1000101      	0         	    FALSE 	       50,81  	   45     	     0         
25,80     	  39,43   	    0      	       1001010      	0         	    FALSE 	       50,92  	   4A     	     0         
25,72     	  39,23   	    0      	       1000101      	0         	    FALSE 	       51,01  	   45     	     0         
25,37     	  39,50   	    0      	       1001010      	0         	    FALSE 	       51,10  	   4A     	     0         
25,20     	  39,43   	    0      	       1000101      	0         	    FALSE 	       51,20  	   45     	     0         
29,05     	  39,38   	    0      	       1001010      	0         	    FALSE 	       51,31  	   4A     	     0         
28,90     	  39,17   	    0      	       1000101      	0         	    FALSE 	       51,40  	   45     	     0         
28,66     	  39,52   	    0      	       1001010      	0         	    FALSE 	       51,50  	   4A     	     0         
28,79     	  39,42   	    0      	       1000101      	0         	    FALSE 	       51,60  	   45     	     0         
28,82     	  39,33   	    0      	       1001010      	0         	    FALSE 	       51,70  	   4A     	     0         
25,77     	  39,24   	    0      	       1000101      	0         	    FALSE 	       51,80  	   45     	     0         
25,09     	  39,41   	    0      	       1001010      	0         	    FALSE 	       51,90  	   4A     	     0         
25,56     	  39,32   	    0      	       1000101      	0         	    FALSE 	       52,00  	   45     	     0         
25,82     	  39,38   	    0      	       1001010      	0         	    FALSE 	       52,10  	   4A     	     0         
25,87     	  39,31   	    0      	       1000101      	0         	    FALSE 	       52,20  	   45     	     0         
28,75     	  39,52   	    0      	       1001010      	0         	    FALSE 	       52,30  	   4A     	     0         
28,60     	  39,39   	    0      	       1000101      	0         	    FALSE 	       52,40  	   45     	     0         
28,72     	  39,28   	    0      	       1001010      	0         	    FALSE 	       52,50  	   4A     	     0         
28,71     	  39,19   	    0      	       1000101      	0         	    FALSE 	       52,61  	   45     	     0         
29,05     	  39,61   	    0      	       1001010      	0         	    FALSE 	       52,71  	   4A     	     0         
25,79     	  39,37   	    0      	       1000101      	0         	    FALSE 	       52,81  	   45     	     0         
25,34     	  39,33   	    0      	       1001010      	0         	    FALSE 	       52,91  	   4A     	     0         
25,70     	  39,27   	    0      	       1000101      	0         	    FALSE 	       53,01  	   45     	     0         
25,51     	  39,48   	    0      	       1001010      	0         	    FALSE 	       53,11  	   4A     	     0         
25,30     	  39,46   	    0      	       1000101      	0         	    FALSE 	       53,21  	   45     	     0         
28,90     	  39,38   	    0      	       1001010      	0         	    FALSE 	       53,31  	   4A     	     0         
29,31     	  39,18   	    0      	       1000101      	0         	    FALSE 	       53,41  	   45     	     0         
28,63     	  39,55   	    0      	       1001010      	0         	    FALSE 	       53,51  	   4A     	     0         
28,65     	  39,36   	    0      	       1000101      	0         	    FALSE 	       53,61  	   45     	     0         
28,73     	  39,39   	    0      	       1001010      	0         	    FALSE 	       53,71  	   4A     	     0         
25,54     	  39,23   	    0      	       1000101      	0         	    FALSE 	       53,81  	   45     	     0         
25,67     	  39,56   	    0      	       1001010      	0         	    FALSE 	       53,91  	   4A     	     0         
25,54     	  39,31   	    0      	       1000101      	0         	    FALSE 	       54,01  	   45     	     0         
25,85     	  39,25   	    0      	       1001010      	0         	    FALSE 	       54,11  	   4A     	     0         
25,51     	  39,25   	    0      	       1000101      	0         	    FALSE 	       54,21  	   45     	     0         
28,79     	  39,60   	    0      	       1001010      	0         	    FALSE 	       54,31  	   4A     	     0         
28,95     	  39,39   	    0      	       1000101      	0         	    FALSE 	       54,41  	   45     	     0         
28,80     	  39,31   	    0      	       1001010      	0         	    FALSE 	       54,51  	   4A     	     0         
29,21     	  39,23   	    0      	       1000101      	0         	    FALSE 	       54,61  	   45     	     0         
28,43     	  39,42   	    0      	       1001010      	0         	    FALSE 	       54,71  	   4A     	     0         
25,26     	  39,34   	    0      	       1000101      	0         	    FALSE 	       54,81  	   45     	     0         
25,19     	  39,32   	    0      	       1001010      	0         	    FALSE 	       54,91  	   4A     	     0         
25,91     	  39,15   	    0      	       1000101      	0         	    FALSE 	       55,01  	   45     	     0         
25,04     	  39,55   	    0      	       1001010      	0         	    FALSE 	       55,11  	   4A     	     0         
25,54     	  39,39   	    0      	       1000101      	0         	    FALSE 	       55,21  	   45     	     0         
28,56     	  39,27   	    0      	       1001010      	0         	    FALSE 	       55,31  	   4A     	     0         
28,84     	  39,23   	    0      	       1000101      	0         	    FALSE 	       55,41  	   45     	     0         
28,30     	  39,52   	    0      	       1001010      	0         	    FALSE 	       55,51  	   4A     	     0         
28,72     	  39,32   	    0      	       1000101      	0         	    FALSE 	       55,61  	   45     	     0         
28,75     	  39,24   	    0      	       1001010      	0         	    FALSE 	       55,71  	   4A     	     0         
