10.11.2005	12:15
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
24,64     	  20,82   	    20333  	      1001010      	0         	    FALSE 	       11,92  	   4A     	     0         
21,04     	  20,72   	    20480  	      1000101      	0         	    FALSE 	       12,03  	   45     	     0         
18,84     	  21,03   	    20778  	      1001010      	0         	    FALSE 	       12,14  	   4A     	     0         
18,45     	  20,63   	    20938  	      1000101      	0         	    FALSE 	       12,27  	   45     	     0         
21,99     	  20,81   	    21166  	      1001010      	0         	    FALSE 	       12,37  	   4A     	     0         
24,61     	  21,03   	    21331  	      1000101      	0         	    FALSE 	       12,50  	   45     	     0         
24,18     	  20,84   	    21524  	      1001010      	0         	    FALSE 	       12,59  	   4A     	     0         
25,44     	  20,81   	    21640  	      1000101      	0         	    FALSE 	       12,72  	   45     	     0         
25,33     	  20,52   	    21819  	      1001010      	0         	    FALSE 	       12,79  	   4A     	     0         
25,16     	  20,56   	    22005  	      1000101      	0         	    FALSE 	       12,89  	   45     	     0         
21,88     	  20,56   	    22255  	      1001010      	0         	    FALSE 	       12,99  	   4A     	     0         
22,16     	  21,00   	    22342  	      1000101      	0         	    FALSE 	       13,13  	   45     	     0         
22,37     	  20,82   	    22546  	      1001010      	0         	    FALSE 	       13,19  	   4A     	     0         
21,03     	  20,76   	    22704  	      1000101      	0         	    FALSE 	       13,29  	   45     	     0         
21,85     	  20,84   	    22879  	      1001010      	0         	    FALSE 	       13,39  	   4A     	     0         
24,13     	  20,77   	    23081  	      1000101      	0         	    FALSE 	       13,49  	   45     	     0         
25,33     	  20,61   	    23253  	      1001010      	0         	    FALSE 	       13,59  	   4A     	     0         
24,35     	  20,62   	    23420  	      1000101      	0         	    FALSE 	       13,69  	   45     	     0         
24,13     	  20,50   	    23588  	      1001010      	0         	    FALSE 	       13,79  	   4A     	     0         
24,36     	  20,50   	    23755  	      1000101      	0         	    FALSE 	       13,89  	   45     	     0         
20,89     	  20,54   	    23957  	      1001010      	0         	    FALSE 	       13,99  	   4A     	     0         
21,59     	  20,87   	    24089  	      1000101      	0         	    FALSE 	       14,14  	   45     	     0         
21,48     	  20,71   	    24279  	      1001010      	0         	    FALSE 	       14,19  	   4A     	     0         
22,01     	  20,66   	    24460  	      1000101      	0         	    FALSE 	       14,29  	   45     	     0         
22,01     	  20,67   	    24627  	      1001010      	0         	    FALSE 	       14,38  	   4A     	     0         
24,59     	  20,72   	    24815  	      1000101      	0         	    FALSE 	       14,48  	   45     	     0         
24,10     	  20,58   	    24993  	      1001010      	0         	    FALSE 	       14,59  	   4A     	     0         
25,35     	  20,62   	    25185  	      1000101      	0         	    FALSE 	       14,69  	   45     	     0         
25,15     	  20,50   	    25340  	      1001010      	0         	    FALSE 	       14,78  	   4A     	     0         
25,39     	  20,54   	    25513  	      1000101      	0         	    FALSE 	       14,88  	   45     	     0         
21,74     	  20,53   	    25804  	      1001010      	0         	    FALSE 	       14,98  	   4A     	     0         
22,30     	  20,63   	    25978  	      1000101      	0         	    FALSE 	       15,15  	   45     	     0         
21,08     	  20,62   	    26123  	      1001010      	0         	    FALSE 	       15,25  	   4A     	     0         
22,04     	  20,96   	    26294  	      1000101      	0         	    FALSE 	       15,31  	   45     	     0         
21,32     	  20,91   	    26414  	      1001010      	0         	    FALSE 	       15,43  	   4A     	     0         
24,08     	  20,76   	    26590  	      1000101      	0         	    FALSE 	       15,48  	   45     	     0         
25,33     	  20,72   	    26798  	      1001010      	0         	    FALSE 	       15,58  	   4A     	     0         
24,03     	  20,72   	    26928  	      1000101      	0         	    FALSE 	       15,71  	   45     	     0         
24,13     	  20,49   	    27131  	      1001010      	0         	    FALSE 	       15,78  	   4A     	     0         
25,34     	  20,61   	    27297  	      1000101      	0         	    FALSE 	       15,88  	   45     	     0         
21,98     	  20,62   	    27472  	      1001010      	0         	    FALSE 	       15,98  	   4A     	     0         
21,48     	  20,87   	    27653  	      1000101      	0         	    FALSE 	       16,09  	   45     	     0         
21,78     	  20,80   	    27813  	      1001010      	0         	    FALSE 	       16,20  	   4A     	     0         
21,78     	  20,66   	    27976  	      1000101      	0         	    FALSE 	       16,28  	   45     	     0         
20,96     	  20,68   	    28172  	      1001010      	0         	    FALSE 	       16,38  	   4A     	     0         
23,93     	  20,72   	    28361  	      1000101      	0         	    FALSE 	       16,48  	   45     	     0         
24,70     	  20,56   	    28560  	      1001010      	0         	    FALSE 	       16,58  	   4A     	     0         
25,05     	  20,62   	    28731  	      1000101      	0         	    FALSE 	       16,68  	   45     	     0         
25,36     	  20,52   	    28931  	      1001010      	0         	    FALSE 	       16,78  	   4A     	     0         
24,31     	  20,52   	    29093  	      1000101      	0         	    FALSE 	       16,88  	   45     	     0         
20,89     	  20,53   	    29289  	      1001010      	0         	    FALSE 	       16,98  	   4A     	     0         
20,98     	  20,78   	    29473  	      1000101      	0         	    FALSE 	       17,10  	   45     	     0         
22,20     	  20,73   	    29667  	      1001010      	0         	    FALSE 	       17,18  	   4A     	     0         
21,10     	  20,84   	    29849  	      1000101      	0         	    FALSE 	       17,32  	   45     	     0         
22,07     	  20,64   	    30040  	      1001010      	0         	    FALSE 	       17,38  	   4A     	     0         
24,44     	  20,75   	    30199  	      1000101      	0         	    FALSE 	       17,48  	   45     	     0         
24,58     	  20,52   	    30395  	      1001010      	0         	    FALSE 	       17,59  	   4A     	     0         
24,47     	  20,45   	    30574  	      1000101      	0         	    FALSE 	       17,68  	   45     	     0         
24,32     	  20,62   	    30757  	      1001010      	0         	    FALSE 	       17,78  	   4A     	     0         
24,77     	  20,59   	    30928  	      1000101      	0         	    FALSE 	       17,89  	   45     	     0         
21,18     	  20,52   	    31131  	      1001010      	0         	    FALSE 	       17,99  	   4A     	     0         
21,23     	  20,91   	    31278  	      1000101      	0         	    FALSE 	       18,11  	   45     	     0         
21,71     	  20,82   	    31474  	      1001010      	0         	    FALSE 	       18,20  	   4A     	     0         
20,96     	  20,87   	    31676  	      1000101      	0         	    FALSE 	       18,31  	   45     	     0         
21,03     	  20,73   	    31839  	      1001010      	0         	    FALSE 	       18,40  	   4A     	     0         
25,43     	  20,64   	    32031  	      1000101      	0         	    FALSE 	       18,49  	   45     	     0         
25,25     	  20,67   	    32234  	      1001010      	0         	    FALSE 	       18,60  	   4A     	     0         
25,34     	  20,47   	    32373  	      1000101      	0         	    FALSE 	       18,70  	   45     	     0         
24,99     	  20,45   	    32560  	      1001010      	0         	    FALSE 	       18,79  	   4A     	     0         
24,66     	  20,48   	    32794  	      1000101      	0         	    FALSE 	       18,89  	   45     	     0         
21,08     	  20,64   	    32958  	      1001010      	0         	    FALSE 	       19,02  	   4A     	     0         
21,32     	  20,67   	    33098  	      1000101      	0         	    FALSE 	       19,11  	   45     	     0         
21,56     	  20,70   	    33254  	      1001010      	0         	    FALSE 	       19,19  	   4A     	     0         
21,80     	  20,72   	    33501  	      1000101      	0         	    FALSE 	       19,29  	   45     	     0         
22,13     	  20,76   	    33617  	      1001010      	0         	    FALSE 	       19,42  	   4A     	     0         
24,05     	  20,68   	    33776  	      1000101      	0         	    FALSE 	       19,49  	   45     	     0         
